SOC_NAME,NumberApplications,ShareOfTotalAsPercent,ROUND(AVG(PREVAILING_WAGE)),STDDEV(PREVAILING_WAGE)
"COMPUTER NETWORK SUPPORT SPECIALISTS",676,0.0,58844,14341.173708456598
"CREDIT ANALYSTS",657,0.0,71423,25538.620681351207
"COMPUTER SCIENCE TEACHERS, POSTSECONDARY",619,0.0,174824,3002643.8415821423
"CONSTRUCTION MANAGERS",612,0.0,78271,23428.82485909761
"FOREIGN LANGUAGE AND LITERATURE TEACHERS,",606,0.0,145709,2457456.4430937776
"OCCUPATIONAL THERAPISTS",601,0.0,65604,11325.932780443667
"CHIEF EXECUTIVES",593,0.0,169707,117357.66796641702
"INTERIOR DESIGNERS",579,0.0,45417,13181.102751546257
"INSTRUCTIONAL COORDINATORS",579,0.0,48976,11897.437248535458
"FOOD SCIENTISTS AND TECHNOLOGISTS",565,0.0,55679,14716.935945444364
"TRAINING AND DEVELOPMENT SPECIALISTS",559,0.0,53283,16108.66115878174
"MULTIMEDIA ARTISTS AND ANIMATORS",559,0.0,61510,17032.28475798327
"BUDGET ANALYSTS",550,0.0,58415,11235.690116999916
"HEALTH DIAGNOSING AND TREATING PRACTITIONERS, ALL",543,0.0,53199,7922.817799408743
"TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS",533,0.0,85414,22606.83690635735
MICROBIOLOGISTS,516,0.0,46664,12299.068146224217
"ENVIRONMENTAL ENGINEERS",498,0.0,64840,16411.348365328802
MATHEMATICIANS,478,0.0,77001,24609.433210784027
"MIDDLE SCHOOL TEACHERS, EXCEPT SPECIAL AND",468,0.0,43923,9658.598657270308
"PEDIATRICIANS, GENERAL",460,0.0,130176,38225.47568595675
"ART DIRECTORS",453,0.0,93688,32120.760096690465
"SOIL AND PLANT SCIENTISTS",451,0.0,46275,11107.929015658927
"FASHION DESIGNERS",449,0.0,54256,18772.554441050124
"SPEECH-LANGUAGE PATHOLOGISTS",448,0.0,61968,10380.757103498168
VETERINARIANS,437,0.0,68062,25476.57973130689
EDITORS,436,0.0,51841,18629.40132502911
"GEOSCIENTISTS, EXCEPT HYDROLOGISTS AND GEOGRAPHERS",432,0.0,80262,34594.252998811775
"ECONOMICS TEACHERS, POSTSECONDARY",426,0.0,61220,18969.602817315244
PSYCHIATRISTS,410,0.0,143067,52461.51222998323
"SOFTWARE DEVELOPERS, APPLICATIONS, NON R&D",405,0.0,70282,18521.2321304658
"SOCIAL SCIENCE RESEARCH ASSISTANTS",398,0.0,37070,9241.604695438975
"ADVERTISING AND PROMOTIONS MANAGERS",378,0.0,93961,42153.51778254248
"SECURITIES, COMMODITIES, AND FINANCIAL SERVICES",362,0.0,104998,56081.634548660695
"NATURAL SCIENCES MANAGERS",350,0.0,114916,44693.365295114665
"TECHNICAL WRITERS",349,0.0,61049,16444.355445604502
"BIOLOGICAL SCIENCE TEACHERS, POSTSECONDARY",349,0.0,54425,14575.683658886894
"COACHES AND SCOUTS",348,0.0,32587,11593.474983288921
"PURCHASING MANAGERS",345,0.0,97342,45978.993071251476
"PRODUCERS AND DIRECTORS",340,0.0,66640,30632.733765713067
"AEROSPACE ENGINEERS",321,0.0,84742,21761.144852868503
"BUSINESS INTELLIGENCE ANALYSTS",321,0.0,62912,13027.285808783616
"LIFE SCIENTISTS, ALL OTHER",318,0.0,53117,13276.960221891819
"PETROLEUM ENGINEERS",315,0.0,106128,33673.31343503596
"HUMAN RESOURCES MANAGERS",315,0.0,108667,37312.47425665667
"ART, DRAMA, AND MUSIC TEACHERS, POSTSECONDARY",306,0.0,51927,45487.38002734866
"EDUCATION ADMINISTRATORS, POSTSECONDARY",301,0.0,75009,28772.563201450168
"DESIGNERS, ALL OTHER",300,0.0,48939,21859.2172056575
"REPORTERS AND CORRESPONDENTS",299,0.0,38600,17195.25330335989
"JUDICIAL LAW CLERKS",287,0.0,49645,15325.389653257753
"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS, ALL",282,0.0,49164,11414.75953477827
"TEACHERS AND INSTRUCTORS, ALL OTHER",282,0.0,32899,14630.298760434887
"INTERPRETERS AND TRANSLATORS",268,0.0,41103,11690.268123187427
"SALES REPRESENTATIVES, WHOLESALE AND",267,0.0,60044,26118.54382030722
"ENVIRONMENTAL SCIENTISTS AND SPECIALISTS,",257,0.0,55515,13360.378783717293
