SOC_NAME,NumberApplications,ShareOfTotalAsPercent,ROUND(AVG(PREVAILING_WAGE)),STDDEV(PREVAILING_WAGE)
BIOSTATISTICIANS,22,0.0,53159,10709.787876722425
"COMPENSATION AND BENEFITS MANAGERS",21,0.0,113715,37341.58326847256
"SPECIAL EDUCATION TEACHERS, PRESCHOOL,",21,0.0,47998,8993.51824567973
"AIRLINE PILOTS, COPILOTS, AND FLIGHT ENGINEERS",21,0.0,53446,20414.99974932912
"DATABASE ARCHITECTS",21,0.0,77914,25964.577681333973
"MEDICAL AND CLINICAL LABORATORY TECHNICIANS",21,0.0,38420,10340.135762444588
"ELECTRICAL ENGINEERS, NON-R&D",21,0.0,63543,12575.830039896036
"MUSICIANS AND SINGERS",20,0.0,47078,22706.66497171109
ARCHIVISTS,20,0.0,39706,8788.745368755319
"CLINICAL DATA MANAGERS",19,0.0,68158,23559.523371368086
"BUYERS AND PURCHASING AGENTS, FARM PRODUCTS",19,0.0,45649,10408.717675013322
"COOKS, RESTAURANT",19,0.0,31190,17962.00620277281
"SOFTWARE DEVELOPERS APPLICATIONS",18,0.0,76582,11913.59301373493
"COMPUTER PROGRAMMERS NON R & D",18,0.0,54564,14361.210473513318
"DENTAL LABORATORY TECHNICIANS",18,0.0,34829,11061.934117192644
"ELECTRICAL AND ELECTRONICS DRAFTERS",18,0.0,53800,12114.412078818854
"COMMUNITY HEALTH WORKERS",18,0.0,30904,6929.842446777577
"COMPUTER SOFTWARE ENGINEERS, APPLICATIONS",17,0.0,73730,22291.14988053644
"ORTHOTISTS AND PROSTHETISTS",17,0.0,55773,9200.796211596888
"CONSERVATION SCIENTISTS",17,0.0,52204,15666.341801854634
"ARTISTS AND RELATED WORKERS, ALL OTHER",17,0.0,41072,15247.340437647303
"COMMERCIAL PILOTS",17,0.0,64113,27965.04747592483
"MECHANICAL ENGINEERS, NON-R&D",16,0.0,63363,15017.333896513555
"AUDIO-VISUAL AND MULTIMEDIA COLLECTIONS",16,0.0,35793,7399.7077218845625
"COMPUTER SYSTEMS ANALYSTS, NON R&AMP;D",16,0.0,65804,12482.638360282404
PHOTOGRAPHERS,16,0.0,40659,17459.24265653939
"OPERATIONS RESEARCH ANALYST",16,0.0,64818,16817.403930145796
"APPRAISERS AND ASSESSORS OF REAL ESTATE",16,0.0,48563,21008.657318174814
"FORESTRY AND CONSERVATION SCIENCE TEACHERS,",15,0.0,55852,7907.5167935325935
"TEACHER ASSISTANTS",15,0.0,25551,4682.295240741997
"COMPUTER SYSTEM ANALYST",15,0.0,53990,3639.1516019839305
"MIDDLE SCHOOL TEACHERS, EXCEPT SPECIAL AND CAREER/",15,0.0,39392,13579.203847386963
"CLINICAL DATA MANAGER",15,0.0,76715,15357.810971909013
"GRADUATE TEACHING ASSISTANTS",15,0.0,33287,7150.575022110898
"HEALTHCARE SUPPORT WORKERS, ALL OTHER",15,0.0,34238,7480.603280248971
"RETAIL SALESPERSONS",15,0.0,36745,14934.827263445399
"SUPERVISORS OF CONSTRUCTION AND EXTRACTION WORKERS",15,0.0,66503,19651.00754757713
"ANIMAL BREEDERS",15,0.0,28920,5333.707851016964
"SOFTWARE DEVELOPERS, APPLICATIONS, R&AMP;D",14,0.0,70737,13868.942763879124
HOSPITALISTS,14,0.0,146172,45503.37389559869
"AUTOMOTIVE ENGINEERS",14,0.0,69620,10277.320777843282
"FIRST-LINE SUPERVISORS OF PRODUCTION AND OPERATING",14,0.0,42769,10177.07096469322
"DETECTIVES AND CRIMINAL INVESTIGATORS",14,0.0,56152,11320.79656879015
"EMERGENCY MANAGEMENT DIRECTORS",14,0.0,68221,21530.369810717388
"LABOR RELATIONS SPECIALISTS",14,0.0,63201,13096.34817330305
"SECONDARY SCHOOL TEACHERS",14,0.0,53982,4986.298533747917
"LIBRARY SCIENCE TEACHERS, POSTSECONDARY",14,0.0,49797,9835.683091816909
"ANTHROPOLOGISTS AND ARCHEOLOGISTS",14,0.0,46237,10574.348149205805
"DRAFTERS, ALL OTHER",13,0.0,43472,6363.769303109822
"SECRETARIES AND ADMINISTRATIVE ASSISTANTS, EXCEPT",13,0.0,32970,7846.555270811142
"RELIGIOUS WORKERS, ALL OTHER",13,0.0,24304,7371.326862577558
PROSTHODONTISTS,13,0.0,80698,26750.671714311895
"FINE ARTISTS, INCLUDING PAINTERS, SCULPTORS, AND",13,0.0,40696,14717.129737081135
"MEDICAL RECORDS AND HEALTH INFORMATION TECHNICIANS",12,0.0,45855,7961.120050650961
"SOUND ENGINEERING TECHNICIANS",12,0.0,40383,17183.82177497731
"SOFTWARE DEVELOPER APPLICATIONS",12,0.0,79020,23181.944231990783
"SOFTWARE DEVELOPERS, APPLICATION",12,0.0,84056,17912.400992205246
"QUALITY CONTROL SYSTEMS MANAGERS",12,0.0,167517,256577.5727367846
HISTORIANS,12,0.0,41070,9761.65562539303
"ORAL AND MAXILLOFACIAL SURGEONS",12,0.0,103922,49062.67774631638
"CHILDCARE WORKERS",11,0.0,21272,2932.3700020971805
"TELECOMMUNICATIONS EQUIPMENT INSTALLERS AND",11,0.0,52433,7561.831680281534
"ELECTRONICS ENGINEERS, EXCEPT COMPUTER,",11,0.0,78049,14839.194583966693
"COMPUTER SYSTEMS ENGINEERS / ARCHITECTS",11,0.0,63814,17154.810236430305
"DOCUMENT MANAGEMENT SPECIALISTS",11,0.0,56152,3091.434188017428
"FINANCIAL QUANTITATIVE ANALYSTS",11,0.0,65968,22384.72686284615
"CIVIL ENGINEERS, R&AMP;D",11,0.0,46734,6187.169918735526
"TEACHERS AND INSTRUCTORS, ALL OTHER*",11,0.0,29340,8656.840410407882
"HEALTHCARE PRACTITIONERS AND TECHNICAL WORKERS, AL",11,0.0,52079,13511.778471802829
"FIRST-LINE SUPERVISORS OF OFFICE AND",11,0.0,43343,6870.751498617484
"FIRST-LINE SUPERVISORS OF RETAIL SALES WORKERS",10,0.0,47730,16542.123901932453
"CONSTRUCTION AND RELATED WORKERS, ALL OTHER",10,0.0,36272,8941.72657044506
"AIRCRAFT MECHANICS AND SERVICE TECHNICIANS",10,0.0,46010,14109.778848448741
"MARKETING MANAGER",10,0.0,131950,38411.323180671614
"BROADCAST NEWS ANALYSTS",10,0.0,49569,24165.051213016686
"AUDIO AND VIDEO EQUIPMENT TECHNICIANS",10,0.0,47253,15648.855873596647
"CAREER/TECHNICAL EDUCATION TEACHERS, SECONDARY",9,0.0,53454,12612.521752186176
"CIVIL ENGINEERS, NON-R&D",9,0.0,53826,16275.37555971083
"FINANCIAL CLERKS, ALL OTHER",9,0.0,34567,1880.3614643830367
"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE, R&AMP;D",9,0.0,64318,8571.456759947769
"ELECTRONICS ENGINEERS, EXCEPT COMPUTER, R&AMP;D",9,0.0,56927,6487.106498342191
"CLAIMS ADJUSTERS, EXAMINERS, AND INVESTIGATORS",9,0.0,52315,13943.80983130705
"REGULATORY AFFAIRS SPECIALISTS",9,0.0,75982,21713.966937120407
"HAIRDRESSERS, HAIRSTYLISTS, AND COSMETOLOGISTS",9,0.0,20862,7516.002419775697
"OFFICE CLERKS, GENERAL",9,0.0,30750,4403.813050027351
"BILLING AND POSTING CLERKS",9,0.0,32180,6108.347817764129
"VETERINARY ASSISTANTS AND LABORATORY ANIMAL",9,0.0,25750,4095.3312291612274
"SEPARATING, FILTERING, CLARIFYING, PRECIPITATING,",9,0.0,39271,3676.9888760903314
"THERAPISTS, ALL OTHER",9,0.0,41677,9646.1422557651
"DATABASE ADMINISTRATOR",9,0.0,68453,28836.902778624135
"LOGISTICS ANALYSTS",9,0.0,53613,14527.868640266115
"INFORMATION AND RECORD CLERKS, ALL OTHER",9,0.0,29434,4619.563392248243
"THERAPISTS, ALL OTHER*",8,0.0,42526,6991.134802522505
"FINANCIAL ANALYST",8,0.0,70034,20715.18329631674
"HUMAN RESOURCES, TRAINING, AND LABOR RELATIONS",8,0.0,44598,6807.408779935924
"CARGO AND FREIGHT AGENTS",8,0.0,32778,2889.1565134784564
"SALES REPRESENTATIVES OF SERVICES, EXCEPT",8,0.0,69272,20971.981734194196
"FIRST-LINE SUPERVISORS OF NON-RETAIL SALES WORKERS",8,0.0,52692,24668.748871394095
"RECREATION AND FITNESS STUDIES TEACHERS, POSTSECON",8,0.0,39254,12397.596443437576
"SURVEYING AND MAPPING TECHNICIANS",8,0.0,35750,1853.9280668431563
"DENTAL ASSISTANTS",8,0.0,30614,6246.290228157439
"CAREER/TECHNICAL  EDUCATION TEACHERS, MIDDLE",8,0.0,42636,8945.556486847256
"COMPUTER PROGRAMMERS R & D",8,0.0,56072,12768.583975915262
"SOFTWARE DEVELOPER, SYSTEMS SOFTWARE",8,0.0,83938,17982.72998427936
"REAL ESTATE BROKERS",8,0.0,63440,27727.014615431915
"ENTERTAINERS AND PERFORMERS, SPORTS AND RELATED",8,0.0,36928,24264.94049654198
"PLUMBERS, PIPEFITTERS, AND STEAMFITTERS",7,0.0,37190,317.59606420801657
"INSTALLATION, MAINTENANCE, AND REPAIR WORKERS, ALL",7,0.0,38049,11631.511309232832
"INSTRUCTIONAL DESIGNERS AND TECHNOLOGISTS",7,0.0,59181,8178.994130062195
BAKERS,7,0.0,26467,2740.5121518316237
"SALES REPRESENTATIVES, WHOLESALE AND MANUFACTURING",7,0.0,53337,30453.91009578982
"FORENSIC SCIENCE TECHNICIANS",7,0.0,58432,30945.845789007835
"PARALEGALS AND LEGAL ASSISTANTS*",7,0.0,61054,13893.22866341289
"CLINICAL RESEARCH COORDINATORS",7,0.0,63513,25759.369899171586
"REGULATORY AFFAIRS MANAGERS",7,0.0,98935,33627.72292047629
"ELECTRICAL ENGINEERS, R&AMP;D",7,0.0,54525,11518.683305918295
"PROCUREMENT CLERKS",7,0.0,45252,7948.047037749948
"MECHANICAL ENGINEERS, NON R&AMP;D",7,0.0,51064,4102.285510317787
"CAMERA OPERATORS, TELEVISION, VIDEO, AND MOTION",7,0.0,43404,12465.295139613814
NULL,7,0.0,74898,19646.722967422887
"ENGLISH LANGUAGE AND LITERATURE TEACHERS, POSTSECO",7,0.0,43894,12037.018920388717
"AUTOMOTIVE SERVICE TECHNICIANS AND MECHANICS",6,0.0,32015,8532.291187158688
"SYSTEMS ANALYST",6,0.0,71250,13671.334338071516
"INTELLIGENCE ANALYST",6,0.0,54194,9479.512746795937
FORESTERS,6,0.0,48416,11695.48308464996
"PHYSICIANS AND SURGEONS",6,0.0,186659,27906.128359197377
"ELECTRONICS ENGINEER, EXCEPT COMPUTER",6,0.0,70892,4511.402901414246
"MIDDLE SCHOOL TEACHERS, EXCEPT SPECIAL AND VOCATIO",6,0.0,36264,1196.4246737676388
"TRANSPORTATION WORKERS, ALL OTHER",6,0.0,29538,8591.630534954742
AUDITORS,6,0.0,61900,24221.525736336414
"TREASURERS AND CONTROLLERS",6,0.0,102204,28837.099319087018
"DISPATCHERS, EXCEPT POLICE, FIRE, AND AMBULANCE",6,0.0,25456,2893.8924430984334
"CAPTAINS, MATES, AND PILOTS OF WATER VESSELS",6,0.0,78892,27628.17893423709
"SOFTWARE DEVELOPERS; APPLICATIONS",6,0.0,81116,5182.425936116535
"PERSONAL CARE AND SERVICE WORKERS, ALL OTHER",6,0.0,22080,6106.464364296411
"SECURITIES, COMMODITIES, AND FINANCIAL SERVICES SA",6,0.0,117038,42518.73277124122
"MECHATRONICS ENGINEERS",6,0.0,63048,9863.83104100813
"COMPUTER HARDWARE ENGINEERS, NON-R&D",6,0.0,81543,22382.432925548255
"PROOFREADERS AND COPY MARKERS",5,0.0,38905,7450.56759530946
"FAMILY AND GENERAL PRACTIONERS",5,0.0,76220,39661.2
"RADIATION THERAPISTS",5,0.0,83046,14217.688377510602
"FREIGHT AND CARGO INSPECTORS",5,0.0,25210,0
NEUROLOGISTS,5,0.0,135918,78835.34927023537
"LEGAL SECRETARIES",5,0.0,39150,10864.085189750223
"TOUR GUIDES AND ESCORTS",5,0.0,26274,2653.284963587625
"COMMERCIAL AND INDUSTRIAL ENGINEERS",5,0.0,56064,17913.49056549281
"JEWELERS AND PRECIOUS STONE AND METAL WORKERS",5,0.0,41197,10511.80422243371
"ARCHITECTURAL DRAFTERS",5,0.0,48531,6951.073344455516
"COMPUTER PROGRAMMERS, NON R&AMP;D",5,0.0,56181,5505.748465013636
"DATABASE ADMINISTRATION",5,0.0,52375,2163.2000000000003
"BROKERAGE CLERKS",5,0.0,49945,2379.6000000000004
"LOGISTICS ENGINEERS",5,0.0,62930,8633.855464848852
"ENVIRONMENTAL SCIENTISTS AND SPECIALISTS, INCLUDIN",5,0.0,57092,16841.73164493485
"BIOLOGICAL SCIENTISTS, ALL OTHERS",5,0.0,67604,12971.040625000001
"MEETING, CONVENTION, AND EVENT PLANNERS*",5,0.0,46342,16413.166880282428
"DESKTOP PUBLISHERS",5,0.0,35298,1751.2051164840732
"ELECTRO-MECHANICAL TECHNICIANS",5,0.0,48789,11163.414919146611
"TRAVEL AGENTS",5,0.0,26017,4570.955962853972
"HUMAN RESOURCES SPECIALIST",5,0.0,62234,11051.869680737282
PRODUCERS,5,0.0,66071,14369.434765248912
"REGULATORY AFFAIRS SPECIALIST",4,0.0,67714,7167.8517527917675
"SOLUTIONS ARCHITECT",4,0.0,116678,8975.586260518096
DANCERS,4,0.0,24003,1809.6005859375
"FIRST-LINE SUPERVISORS OF LANDSCAPING, LAWN",4,0.0,33197,867.8597236881089
GENETICISTS,4,0.0,37726,5605.265621493776
INTERNIST,4,0.0,149822,22141.355325726563
"INVESTMENT FUND MANAGERS",4,0.0,120292,24864.501538337747
"MEDICAL ASSISTANTS",4,0.0,27994,5406.1094374790455
"BIOLOGICAL SCIENTISTS",4,0.0,75837,19434.137734924083
"INSURANCE CLAIMS AND POLICY PROCESSING CLERKS",4,0.0,26109,63.04648024992046
"ARBITRATORS, MEDIATORS, AND CONCILIATORS",4,0.0,37279,1918.6217743087655
"REAL ESTATE SALES AGENTS",4,0.0,49681,30374.64059484903
"COMPUTER SYSTEMS ENGINEERS/ ARCHITECTS",4,0.0,70153,23049.157700174208
"MATERIALS ENGINEER",4,0.0,88406,17181.082234539244
"TAILORS, DRESSMAKERS, AND CUSTOM SEWERS",4,0.0,22300,5786.314212965963
"MARKET RESEARCH ANALYSTS",4,0.0,63289,4460.8752897895665
"ELECTRICAL ENGINEER",4,0.0,77449,7961.957183224486
"SOFTWARE DEVELOPER",4,0.0,95332,9104.330686546924
"DIAGNOSTIC MEDICAL SONOGRAPHERS",4,0.0,66300,2111.201171874998
"SUPPLY CHAIN MANAGERS",4,0.0,67731,12638.844436399238
"PAYROLL AND TIMEKEEPING CLERKS",4,0.0,40227,11315.213253571017
CHOREOGRAPHERS,4,0.0,55276,22693.736829370842
"COMPUTER OPERATORS",4,0.0,41295,16988.00544052436
"ELECTRONIC ENGINEERS, EXCEPT COMPUTER",4,0.0,74078,6555.763165909824
"CRAFT ARTISTS",4,0.0,24991,5813.400390625
"NUCLEAR TECHNICIANS",4,0.0,54454,5725.956535811288
"COMPUTER SYSTEM ENGINEERS/ARCHITECTS",4,0.0,86386,3844.3584884217025
"SECONDARY SCHOOL TEACHERS,EXCEPT SPECIAL AND CAREE",4,0.0,60152,22153.765577935414
"MEDIA AND COMMUNICATION EQUIPMENT WORKERS, ALL",4,0.0,83424,3589.1002702627297
"FARMWORKERS, FARM, RANCH, AND AQUACULTURAL ANIMALS",4,0.0,38345,10882.687061911687
"COMPUTER HARDWARE ENGINEERS, R&D",4,0.0,63908,20788.633569513415
"INFORMATION TECHNOLOGY PROJECT MANAGER",4,0.0,78520,17012.409544212132
"FIRST-LINE SUPERVISORS OF HOUSEKEEPING AND",4,0.0,47338,8091.361087604482
"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS, ALL OTHE",4,0.0,46342,4760.6397466601675
"ORTHOTISTS AND PROTHETISTS",4,0.0,52707,8189.035760545927
"INDUSTRIAL ENGINEER",4,0.0,61240,2605.774596928905
"HEAVY AND TRACTOR-TRAILER TRUCK DRIVERS",4,0.0,43652,2779.1280689020955
"ANIMAL TRAINERS",4,0.0,25849,7969.9970592708
"RESPIRATORY THERAPISTS",4,0.0,49712,4095.3902744427182
"SOFTWARE DEVELOPERS,APPLICAITONS",4,0.0,87371,3107.168113813607
"CONSTRUCTION AND BUILDING INSPECTORS",4,0.0,50950,16062.646164191494
"VETERINARY TECHNOLOGISTS AND TECHNICIANS",4,0.0,32612,671.1696879329402
"BUSINESS INTELLIGENCE ANALYST",4,0.0,85124,38736.08047415226
"SKINCARE SPECIALISTS",3,0.0,25215,272.283067066509
"AGRICULTURAL WORKERS, ALL OTHER",3,0.0,28659,4783.183412284705
"SOFWARE DEVELOPERS, APPLICATIONS",3,0.0,83609,34177.15360685653
"PHYSICAL THERAPIST AIDES",3,0.0,28690,1639.7583535134395
"COMPUTER AND INFORMATION SYSTEMS MANAGER",3,0.0,125555,41341.23574189174
"INSPECTORS, TESTERS, SORTERS, SAMPLERS, AND",3,0.0,47383,2823.7130795382795
"COMPUTER OCCUPATIONS, OTHER OTHER",3,0.0,58760,0
"HOSTS AND HOSTESSES, RESTAURANT, LOUNGE, AND",3,0.0,44845,0.09391261937633834
"HEATING, AIR CONDITIONING, AND REFRIGERATION",3,0.0,52305,18632.41378855082
"SOFTWARE QUALITY ASSURANCE ENGINEERS & TESTERS",3,0.0,63045,9812.22480151956
"HEALTHCARE PRACTITIONERS AND TECHNICAL",3,0.0,49067,0
"RECEPTIONISTS AND INFORMATION CLERKS",3,0.0,22519,2245.39364514706
"MARKET RESEARCH ANALYST AND MARKETING SPECIALISTS",3,0.0,52853,22592.6310454439
"FARMWORKERS AND LABORERS, CROP, NURSERY, AND",3,0.0,21993,3540.2479511406477
"SOFTWARE DEVELOPERS,SYSTEMS SOFTWARE",3,0.0,96858,47025.90078055095
"SALES MANAGER",3,0.0,98904,18646.01505833232
"NETWORK AND COMPUTER SYSTEMS ADMINSTRATORS",3,0.0,94889,18621.12979625267
"HEALTH SPECIALTIES TEACHER, POSTSECONDARY",3,0.0,170118,5163.29371622417
"PRIVATE DETECTIVES AND INVESTIGATORS",3,0.0,47112,12451.486765309059
"FIRST-LINE SUPERVISORS OF CONSTRUCTION TRADES AND",3,0.0,80191,107.9516352611454
"COMPUTER SOFTWARE ENGINEERS, SYSTEMS SOFTWARE",3,0.0,93863,27685.499867058366
"COMPUTER SYSTEMS ENGINEER",3,0.0,68349,8471.61064313563
"COMPUTER NETWORKS ARCHITECTS",3,0.0,79622,0
"COMPUTER SYSTEMS ANALSYTS",3,0.0,65617,3951.3126932704276
"MARKET RESEARCH ANALYSTS & MARKETING SPECIALISTS",3,0.0,55702,9764.81743585386
CARPENTERS,3,0.0,31200,0
"INTERNIST, GENERAL",3,0.0,139498,25231.491650096494
"MEDICAL SCIENTISTS EXCEPT EPIDEMIOLOGISTS",3,0.0,40297,1480.3038727084238
"ELECTRONICS ENGINEERS, EXCEPT COMPUTER, NON",3,0.0,86264,24489.17451083687
"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, AND F",3,0.0,56791,16184.79959715288
"AREA, ETHNIC, AND CULTURAL STUDIES TEACHERS, POSTS",3,0.0,44990,8936.85627052377
"HEALTHCARE PRACTITIONERS AND TECHNICAL WORKER",3,0.0,40872,0
"MEDICAL EQUIPMENT PREPARERS",3,0.0,150000,0
"COMPUTER & INFORMATION SYSTEMS MANAGERS",3,0.0,133196,15581.790290806337
"COMPUTER SYSTEMS ANLAYSTS",3,0.0,73091,1882.3182515185895
"INSTRUCTIONAL COORDINATOR",3,0.0,57283,0
"AUTOMOTIVE BODY AND RELATED REPAIRERS",3,0.0,40435,18197.666760558448
"COMPUTER NETWORK ARCHITECTS, R&D",3,0.0,95853,50787.28958006018
"MECHANICAL ENGINEERS, NON R&D",3,0.0,57304,8815.290957572908
"INFORMATICS NURSE SPECIALISTS",3,0.0,60237,11211.744328555164
"WEB ADMINISTRATORS",3,0.0,70713,18210.105564402056
"SOFTWARE QULAITY ASSURANCE ENGINEERS AND TESTERS",3,0.0,57006,12070.537463869066
"PHYSICAL THERAPIST",3,0.0,60715,0
"LIBRARY TECHNICIANS",3,0.0,33134,1731.9747976780156
"HELPERS--INSTALLATION, MAINTENANCE, AND REPAIR",3,0.0,26000,0
"FOREST AND CONSERVATION TECHNICIANS",3,0.0,34369,5945.700346550684
"SEARCH MARKETING STRATEGISTS",3,0.0,73549,24032.673874447584
"MARKET RESEARCH ANALYST",3,0.0,41115,2490.524001270279
"SOFTWARE QUALITY ASSURANCE ENGINEER AND TESTERS",3,0.0,63066,14174.546820112295
"SPECIAL EDUCATION TEACHERS, KINDERGARTEN AND ELEME",3,0.0,40312,4358.134794713087
"SOFTWARE DEVELOPERS, APPLICATIONS, NON R &AMP; D",3,0.0,66900,10775.835940762192
"REFRACTORY MATERIALS REPAIRERS, EXCEPT BRICKMASONS",3,0.0,119995,0
"CRIMINAL JUSTICE AND LAW ENFORCEMENT TEACHERS",3,0.0,51263,0
"GEOSPATIAL INFORMATION SCIENTISTS AND TECHNOLOGIST",3,0.0,60299,17321.60213914021
"ROBOTICS ENGINEERS",2,0.0,83543,26697
"ELECTRONICS ENGINEERS, EXCEPT COMPUTERS",2,0.0,67319,5959
"ENVIRONMENTAL SCIENTISTS AND SPECIALISTS",2,0.0,61422,4950.5
"AGENTS AND BUSINESS MANAGERS OF ARTISTS, PERFORMER",2,0.0,37190,6593.5
"NETWORK COMPUTER SYSTEMS ADMINISTRATORS",2,0.0,74381,7467
"INTERVIEWERS, EXCEPT ELIGIBILITY AND LOAN",2,0.0,33966,665.5
"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND CAR",2,0.0,56695,755.041015625
"FIRST-LINE SUPERVISORS OF FARMING, FISHING, AND",2,0.0,46222,4862.5
LAWYER,2,0.0,72405,4908.80078125
"SOFTWARE DEVELOPERS, APPLICATIONS.",2,0.0,66664,0
"SOFTWARE DEVELOPERS-APPLICATIONS",2,0.0,67184,0
"SECURITIES, COMMODITIES, AND FINANCIAL",2,0.0,50732,14206.5
"DIETETIC TECHNICIANS",2,0.0,34902,0
"RISK MANAGEMENT SPECIALISTS",2,0.0,72352,9682.5
"BIOCHEMISTS & BIOPHYSICISTS",2,0.0,37794,0
"DATABASE ADMINSTRATORS",2,0.0,85592,10941
"HUMAN FACTORS ENGINEERS AND ERGONOMISTS",2,0.0,72779,8091
"NETWORK & COMPUTER SYSTEMS ADMINISTRATORS",2,0.0,63856,15870
"COMPUTER SYSTEMS ENGINEERS, ARCHITECTS",2,0.0,60196,790.5
"METAL WORKERS AND PLASTIC WORKERS, ALL OTHER",2,0.0,42411,0
"ART, DRAMA AND MUSIC TEACHERS, POSTSECONDARY",2,0.0,42381,2838.099609375
"AIRFIELD OPERATIONS SPECIALISTS",2,0.0,33415,2693.400390625
"LIGHT TRUCK OR DELIVERY SERVICES DRIVERS",2,0.0,25324,4524
"CONSTRUCTION LABORERS",2,0.0,36109,0
"ELEVATOR INSTALLERS AND REPAIRERS",2,0.0,70720,8320
"ELECTRICAL ENGINEERS, NON R&D",2,0.0,61756,10337.5
"OCCUPATIONAL HEALTH AND SAFETY TECHNICIANS",2,0.0,46363,0
"HOME HEALTH AIDES",2,0.0,23754,0
"BILL AND ACCOUNT COLLECTORS",2,0.0,57637,26103.998046875
"COMPUTERS MANAGERS",2,0.0,154565,0
"RADIO AND TELEVISION ANNOUNCERS",2,0.0,21206,1092
"WEIGHERS, MEASURERS, CHECKERS, AND SAMPLERS,",2,0.0,28974,0
"COMPUTER OCCUPATIONS,  ALL OTHER",2,0.0,65582,0
"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL",2,0.0,49432,490.1015625
"SOFTWARE QUALITY ASSURANACE ENGINEERS AND TESTERS",2,0.0,74006,0
"TRAFFIC TECHNICIANS",2,0.0,38251,2413
"FAMILY & GENERAL PRACTITIONERS",2,0.0,194189,0
"STRUCTURAL IRON AND STEEL WORKERS",2,0.0,35000,0
"SOFTWARE DEVELPERS, APPLICATIONS",2,0.0,90750,0
"FIRST-LINE SUPERVISORS OF MECHANICS, INSTALLERS,",2,0.0,52562,0
"INDUSTRIAL SAFETY AND HEALTH ENGINEERS",2,0.0,94619,28205
"ADULT BASIC AND SECONDARY EDUCATION AND LITERACY T",2,0.0,42120,1331.099609375
"MASSAGE THERAPISTS",2,0.0,39010,6645.599609375
"PUBLIC RELATIONS AND FUND RAISING MANAGERS",2,0.0,35173,0
MACHINISTS,2,0.0,29910,0
"PUBLIC RELATIONS SPECIALIST",2,0.0,52577,2377
"EDUCATIONAL, GUIDANCE, SCHOOL, AND VOCATIONAL COUN",2,0.0,36930,1091.80078125
"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL EDUCATIO",2,0.0,43780,0
"SOFTWARE ENGINEER",2,0.0,107734,2028
ATTORNEY,2,0.0,80798,1674.3984375
"NURSE ANESTHETISTS",2,0.0,107408,6722
"GAMING MANAGERS",2,0.0,43118,0
"SOFTER DEVELOPERS, APPLICATIONS",2,0.0,73663,4732
"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE, NON R&AMP;D",2,0.0,66300,11326
"HEALTH TECHNOLOGISTS AND TECHNICIANS, ALL OTHER*",2,0.0,51626,0
"COMPUTER SYSTEMS ANALYSTS, R&AMP;D",2,0.0,45802,0
"SOCIAL SCIENCE TEACHERS, POSTSECONDARY, ALL OTHER",2,0.0,51790,0
"PRINTING PRESS OPERATORS",2,0.0,35963,624
"ELEMENTARY SCHOOL TEACHERS, EXEPT SPECIAL",2,0.0,37000,0
"RESERVATION AND TRANSPORTATION TICKET AGENTS AND",2,0.0,40000,0
"TECHNICAL WRITER",2,0.0,145568,51677.5
"COMPUTER SYTEMS ANALYSTS",2,0.0,78489,11700
RADIOLOGISTS,2,0.0,50794,0
"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND CAREER/TECHNICAL EDUCATION",2,0.0,34237,936
"SPEECH AND LANGUAGE PATHOLOGISTS",2,0.0,57782,0
"SOFTWARE DEVELOPER/ APPLICATIONS",2,0.0,111925,0
"SOFTWARE DEVELOPERS, SYSTEM SOFTWARE",2,0.0,61194,0
"GENERAL AND OPERATIONS MANAGER",2,0.0,64230,0
"MATERIAL ENGINEERS",2,0.0,71885,0
"BIOLOGICAL TECHNICIAN",2,0.0,28142,1560
"POST-SECONDARY TEACHERS, ALL OTHER",2,0.0,44000,0
"LIFEGUARDS, SKI PATROL, AND OTHER RECREATIONAL",2,0.0,22797,0
"FINANCIAL MANAGERS, BRANCH OR DEPARTMENT",2,0.0,147805,0
"PRODUCTION WORKERS, ALL OTHER",2,0.0,51906,12220.19921875
"PHOTONICS ENGINEERS",2,0.0,87194,0
"ADULT BASIC SECOND EDUC AND LIT TEACH AND INSTRUC",2,0.0,29256,1466.5
"ENGINEERING TEACHERS",2,0.0,65855,665
"RADIOLOGIC TECHNOLOGISTS",2,0.0,41225,748.599609375
"DEVELOPER - MICROSOFT TECHNOLOGIES",2,0.0,98987,0
"COMPUTER SOFTWARE ENGINEERS, APPLICATIONS, R&D",2,0.0,66966,1716
"COMPUTER SYSTEMS ENGINEER/ARCHITECTS",2,0.0,75878,0
"QUALITY CONTROL SYSTEMS MANAGER",2,0.0,122283,0
"EDUCATIONAL, GUIDANCE, SCHOOL AND VOCATIONAL COUNS",2,0.0,31959,655
"CIVIL ENGINEER",2,0.0,56909,0
"COMPUTER DEVELOPERS, APPLICATIONS",2,0.0,79550,8309.5
"MEDICAL SCIENTISTS",2,0.0,103314,23004.69921875
"COMPUTER NETWORK ARCHITECTS, NON R&D",2,0.0,79446,30628.5
"POLICE AND SHERIFF'S PATROL OFFICERS",2,0.0,55452,0
